DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0331-GBR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,West Yorkshire (North England),,,No,No,No,,,Km2,,,,2000,6,,2000,6,,,,240,,240,,,,,18150,32116,56.51429056,"[{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",2003-07-01,2023-09-25
2000-0662-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Maidstone, Yalding, Tunbridge Wells, Edenbridge, Datford, Tenterden towns (Kent district, England province), Uckfield, Lewes towns (East Sussex district, England province), West Sussex district (England province), Hampshire district (England province), Devonshire district (England province)",Heavy rains,,No,No,No,,5300,Km2,,,,2000,10,11,2000,10,14,,,1000,,1000,,,75000,132710,5900000,10439837,56.51429056,"[{""adm2_code"":40104,""adm2_name"":""Devonshire""},{""adm2_code"":40107,""adm2_name"":""East Sussex""},{""adm2_code"":40112,""adm2_name"":""Hampshire""},{""adm2_code"":40117,""adm2_name"":""Kent""},{""adm2_code"":40137,""adm2_name"":""West Sussex""}]",2004-10-21,2023-09-25
2000-0714-GBR,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Larkhill city (Wiltshire district), Bognor Regis village, Selsey city (West Sussex district) (England province) ; West Yorkshire, South Yorkshire, North Yorkshire, Humberside (Yorkshire), West Sussex, East Sussex (Sussex), Kent, Wiltshire, Hamphshire districts (England province)",,Flood,No,No,No,,150,Kph,,,,2000,10,28,2000,10,29,12,4,19500,,19504,,,1100000,1946410,1500000,2654196,56.51429056,"[{""adm2_code"":40107,""adm2_name"":""East Sussex""},{""adm2_code"":40112,""adm2_name"":""Hampshire""},{""adm2_code"":40115,""adm2_name"":""Humberside""},{""adm2_code"":40117,""adm2_name"":""Kent""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40130,""adm2_name"":""South Yorkshire""},{""adm2_code"":40137,""adm2_name"":""West Sussex""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""},{""adm2_code"":40139,""adm2_name"":""Wiltshire""}]",2008-04-08,2023-09-25
2000-0842-GBR,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Worcestershire (Hereford and Wor district), Somerset city (Somersetshire district), Gloucester city (Gloucestershire district) (England province)",,,No,No,No,,144,Kph,,,,2000,12,,2000,12,,4,,600,,600,,,,,,,56.51429056,"[{""adm2_code"":40109,""adm2_name"":""Gloucestershire""},{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40129,""adm2_name"":""Somersetshire""}]",2003-07-01,2023-09-25
2000-0856-GBR,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Northern Ireland province,,,No,No,No,,,Kph,,,,2000,12,27,2000,12,27,,,,,,,,,,,,56.51429056,"[{""adm1_code"":3183,""adm1_name"":""Northern Ireland""}]",2003-07-01,2023-09-25
2001-0131-GBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cleveland, East Sussex, Kent districts (England province)",,,No,No,No,,,Km2,,,,2001,2,9,2001,2,9,,,150,,150,,,,,,,58.11147437,"[{""adm2_code"":40100,""adm2_name"":""Cleveland""},{""adm2_code"":40107,""adm2_name"":""East Sussex""},{""adm2_code"":40117,""adm2_name"":""Kent""}]",2003-07-01,2023-09-25
2001-0645-GBR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cambridgeshire, Essex and Kent districts (England province)",Brief torrential rain,,No,No,No,,5680,Km2,,,"Cam, Colne, Roman, Stour.",2001,10,21,2001,10,23,,,90,,90,,,,,,,58.11147437,"[{""adm2_code"":40098,""adm2_name"":""Cambridgeshire""},{""adm2_code"":40108,""adm2_name"":""Essex""},{""adm2_code"":40117,""adm2_name"":""Kent""}]",2005-09-21,2023-09-25
2001-0788-GBR,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,"Meningococcal disease, serogroup W135",GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,,,,,2001,1,,2001,6,,11,,30,,30,,,,,,,58.11147437,,2005-06-22,2023-09-25
2002-0051-GBR,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Jennifer,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Cheshire, Cleveland, Cumbria, Durham, Greater Manchest, Humberside, Lancashire, Merseyside, North Yorkshire, Northumberland, South Yorkshire, Tyne and Wear, West Yorkshire (Northern England, England province) ; Scotland province",,,No,No,No,,200,Kph,,,,2002,1,28,2002,1,29,7,,,,,,,,,50,85,59.03314408,"[{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm2_code"":40099,""adm2_name"":""Cheshire""},{""adm2_code"":40100,""adm2_name"":""Cleveland""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40106,""adm2_name"":""Durham""},{""adm2_code"":40111,""adm2_name"":""Greater Manchest""},{""adm2_code"":40115,""adm2_name"":""Humberside""},{""adm2_code"":40118,""adm2_name"":""Lancashire""},{""adm2_code"":40121,""adm2_name"":""Merseyside""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40125,""adm2_name"":""Northumberland""},{""adm2_code"":40130,""adm2_name"":""South Yorkshire""},{""adm2_code"":40134,""adm2_name"":""Tyne and Wear""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",2006-01-02,2023-09-25
2002-0463-GBR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Scotland province Cumbria, Derbyshire, Hereford and Wor, Leicestershire, Lincolnshire, Northamptonshire, Nottinghamshire, Salop, Staffordshire, Warwickshire, West Midlands, West Yorkshire districts (England province)",,,No,No,No,,,Km2,,,,2002,7,20,2002,7,20,1,,200,,200,,,,,,,59.03314408,"[{""adm1_code"":3184,""adm1_name"":""Scotland""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40103,""adm2_name"":""Derbyshire""},{""adm2_code"":40113,""adm2_name"":""Hereford and Wor""},{""adm2_code"":40119,""adm2_name"":""Leicestershire""},{""adm2_code"":40120,""adm2_name"":""Lincolnshire""},{""adm2_code"":40124,""adm2_name"":""Northamptonshire""},{""adm2_code"":40126,""adm2_name"":""Nottinghamshire""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40131,""adm2_name"":""Staffordshire""},{""adm2_code"":40135,""adm2_name"":""Warwickshire""},{""adm2_code"":40136,""adm2_name"":""West Midlands""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",2003-07-01,2023-09-25
2002-0488-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Scarborough, Filey towns (North Yorkshire district, England province)",Heavy rain,,No,No,No,,60,Km2,,,,2002,8,10,2002,8,12,,,250,,250,,,,,,,59.03314408,"[{""adm2_code"":40123,""adm2_name"":""North Yorkshire""}]",2005-09-23,2023-09-25
2002-0671-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Jeanett,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Norfolkshire, Suffolkshire, Salop districts (England province), Oxford city (Oxfordshire district, England province), Powys district (Wales province)",,,No,No,No,,155,Kph,,,,2002,10,26,2002,10,28,7,,,,,,,250000,423491,400000,677585,59.03314408,"[{""adm2_code"":40122,""adm2_name"":""Norfolkshire""},{""adm2_code"":40127,""adm2_name"":""Oxfordshire""},{""adm2_code"":40128,""adm2_name"":""Salop""},{""adm2_code"":40132,""adm2_name"":""Suffolk""},{""adm2_code"":40184,""adm2_name"":""Powys""}]",2008-03-21,2023-09-25
2002-0774-GBR,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Elgin, Forres, Rothes, Craigellachie, Dufftown, Aberdeen towns,, Grampian district, Scotland province), Tayside district (Scotland province), Devonshire and Cornwall districts (England province)",Heavy rain,,No,No,No,,,Km2,,,"Lossie, Mosset Burn, Divvie, Spey, South Esk, Dee, Isla, Rivers: Exe, Stennac, Middle and Lower River Stour",2002,11,14,2002,11,25,,,300,,300,,,,,,,59.03314408,"[{""adm2_code"":40101,""adm2_name"":""Cornwall""},{""adm2_code"":40104,""adm2_name"":""Devonshire""},{""adm2_code"":40171,""adm2_name"":""Grampian""},{""adm2_code"":40177,""adm2_name"":""Tayside""}]",2005-09-26,2023-09-25
2003-0391-GBR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"England, Wales provinces",,,No,No,No,,,°C,,,,2003,7,,2003,7,,301,,,,,,,,,,,60.37325107,"[{""adm1_code"":3182,""adm1_name"":""England""},{""adm1_code"":3186,""adm1_name"":""Wales""}]",2007-04-03,2023-09-25
2004-0423-GBR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Kastel Boterel, Tintagel, Camelford villages (Cornwall district, England province)",Torrential rains,,No,No,No,,,Km2,,,"Valency, Jordan, Paradise, Camel",2004,8,16,2004,8,17,,8,1000,,1008,,,,,96000,154865,61.98958593,"[{""adm2_code"":40101,""adm2_name"":""Cornwall""}]",2004-08-24,2023-09-25
2005-0011-GBR,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Appleby, Longtown, Shap,Carlisle towns (Cumbria district, England province), West Yorkshire district (England province), North Yorkshire district (England province), Haydon Brige town (Northumberland district, England province), Peebles, Jedburgh towns (Borders district, Scotland province), Grampian district (Scotland province), Wales province",,Transport accident,No,No,No,,140,Kph,,,,2005,1,7,2005,1,8,3,,3000,,3000,,,500000,780120,650000,1014155,64.09274026,"[{""adm1_code"":3186,""adm1_name"":""Wales""},{""adm2_code"":40102,""adm2_name"":""Cumbria""},{""adm2_code"":40123,""adm2_name"":""North Yorkshire""},{""adm2_code"":40125,""adm2_name"":""Northumberland""},{""adm2_code"":40138,""adm2_name"":""West Yorkshire""},{""adm2_code"":40167,""adm2_name"":""Borders""},{""adm2_code"":40171,""adm2_name"":""Grampian""}]",2006-12-14,2023-09-25
